Base Word,Guideword,Level,Part of Speech,Topic
Don't ask!,,B2,phrase,communication
Don't ask me,,B2,phrase,communication
don't hesitate to do sth,,B2,phrase,communication
do sb good,,B2,phrase,
do sb good,,B2,phrase,body and health
dose,MEDICINE,B2,noun,body and health
dot,MARK,B2,noun,
double,,B2,verb,
doubt,FEEL UNCERTAIN,B2,verb,people: personality
doubtful,NOT CERTAIN,B2,adjective,people: personality
doubtful,NOT PROBABLE,B2,adjective,
do up sth or do sth up,,B2,phrasal verb,people: actions
do without (sb/sth),,B2,phrasal verb,
down,UNHAPPY,B2,adjective,people: personality
draft,WRITING,B2,noun,communication
drag,PULL,B2,verb,people: actions
dramatic,,B2,adjective,
dramatically,,B2,adverb,
draw,ATTRACT,B2,verb,people: personality
draw a conclusion,,B2,phrase,
"draw into/out/away, etc.",,B2,phrase,people: actions
draw near/close,,B2,phrase,
draw (sb's) attention to sth/sb,,B2,phrase,
draw (sb's) attention to sth/sb,,B2,phrase,people: actions
dreadful,,B2,adjective,describing things
"drive sb crazy/nuts, etc.",,B2,phrase,people: personality
drop,LOWER,B2,verb,describing things
drop,STOP ACTIVITY,B2,verb,people: actions
drop,REDUCTION,B2,noun,describing things
drown,DIE,B2,verb,
drug,MEDICINE,B2,noun,body and health
drug,ILLEGAL SUBSTANCE,B2,noun,body and health
drunk,,B2,adjective,food and drink
dumb,STUPID,B2,adjective,people: personality
duty,JOB,B2,noun,work
dynamic,ACTIVE,B2,adjective,people: personality
eager,,B2,adjective,people: personality
eagerly,,B2,adverb,people: personality
eagerness,,B2,noun,people: personality
eagle,,B2,noun,animals
earn a living,,B2,phrase,
earnings,,B2,noun,"money, work"
earth,SUBSTANCE,B2,noun,natural world
earthquake,,B2,noun,natural world
ease,NOT DIFFICULT,B2,noun,
eastern,ASIA,B2,adjective,
eat up (sth) or eat (sth) up,,B2,phrasal verb,"food and drink, people: actions"
ecological,,B2,adjective,natural world
ecologically,,B2,adverb,natural world
economic,,B2,adjective,money
economical,,B2,adjective,money
economist,,B2,noun,"education, money, work"
economy,,B2,noun,money
edge,BLADE,B2,noun,
edit,,B2,verb,"communication, people: actions"
edition,,B2,noun,arts and media
editor,,B2,noun,"arts and media, work"
educate,TEACH,B2,verb,"education, people: actions"
educate,GIVE INFORMATION,B2,verb,"communication, people: actions"
educational,,B2,adjective,education
effective,,B2,adjective,
effectively,,B2,adverb,
efficiency,,B2,noun,
efficiently,,B2,adverb,
egg,BABY,B2,noun,animals
eggplant,,B2,noun,food and drink
"either side/end, etc.",,B2,phrase,
elect,,B2,verb,"people: actions, politics"
electrician,,B2,noun,"technology, work"
electronically,,B2,adverb,technology
electronics,,B2,noun,"education, technology"
elegant,,B2,adjective,people: appearance
elegantly,,B2,adverb,people: appearance
element,PART,B2,noun,
element,SIMPLE SUBSTANCE,B2,noun,natural world
elsewhere,,B2,adverb,
embarrassment,,B2,noun,people: personality
emerge,APPEAR,B2,verb,
emotion,,B2,noun,people: personality
emotional,EMOTIONS,B2,adjective,people: personality
emotional,STRONG FEELINGS,B2,adjective,people: personality
emotionally,,B2,adverb,people: personality
emphasis,,B2,noun,communication
emphasize,,B2,verb,communication
enable,,B2,verb,people: actions
enclose,SEND,B2,verb,"communication, people: actions"
encounter,,B2,verb,
encouragement,,B2,noun,communication
encouraging,,B2,adjective,people: personality
end,STOP,B2,noun,
endangered,,B2,adjective,"animals, natural world"
endless,,B2,adjective,
endure,,B2,verb,people: personality
enemy,COUNTRY/ARMY,B2,noun,"politics, relationships"
energetic,,B2,adjective,people: personality
enjoyment,,B2,noun,people: personality
enough,NEGATIVE COMMENT,B2,determiner,describing things
entertainer,,B2,noun,"arts and media, work"
entertaining,,B2,adjective,"arts and media, people: personality"
enthusiasm,,B2,noun,people: personality
enthusiastic,,B2,adjective,people: personality
enthusiastically,,B2,adverb,people: personality
entire,,B2,adjective,describing things
entirely,,B2,adverb,communication
entitle,,B2,verb,
environment,SURROUNDINGS,B2,noun,
environmentally,,B2,adverb,natural world
environmentally friendly,,B2,adjective,natural world
envy,,B2,verb,people: personality
envy,FEELING OF WANTING,B2,noun,people: personality
episode,EVENT,B2,noun,
episode,PART OF STORY,B2,noun,arts and media
equal,AS IMPORTANT,B2,adjective,
equal,,B2,noun,
equality,,B2,noun,
equally,SAME WAY,B2,adverb,
equip,,B2,verb,technology
era,,B2,noun,
erase,,B2,verb,communication
error,,B2,noun,
escalator,,B2,noun,buildings
escape,AVOID,B2,verb,
escape,FORGETTING PROBLEMS,B2,noun,
essentially,,B2,adverb,
establish,START,B2,verb,"people: actions, work"
estate,LAND,B2,noun,
estate,BUILDINGS,B2,noun,buildings
estimate,,B2,verb,people: actions
estimate,,B2,noun,people: actions
estimated,,B2,adjective,
even if,,B2,phrase,communication
even though,,B2,phrase,communication
even though,,B2,phrase,
eventually,,B2,adverb,
every,POSSIBLE,B2,determiner,
(every) once in a while,,B2,phrase,
(every) once in a while,,B2,phrase,
evidence,PROOF,B2,noun,
evident,,B2,adjective,
evidently,,B2,adverb,
evil,,B2,adjective,people: personality
evil,,B2,noun,
evolution,NATURAL WORLD,B2,noun,natural world
evolution,GRADUAL CHANGE,B2,noun,
exactly,AGREEMENT,B2,adverb,communication
examination,CAREFUL LOOK,B2,noun,body and health
examine,LOOK AT,B2,verb,people: actions
exception,,B2,noun,
exceptional,GOOD,B2,adjective,describing things
exchange,SHOP,B2,verb,shopping
"exchange looks, opinions, views, etc.",,B2,phrase,communication
exclamation point,,B2,noun,communication
exclusive,EXPENSIVE,B2,adjective,
excuse,EXPLAIN,B2,verb,communication
exhausting,,B2,adjective,people: personality
exhaustion,,B2,noun,people: personality
existence,,B2,noun,
existing,,B2,adjective,
exotic,,B2,adjective,
expand,,B2,verb,
expansion,,B2,noun,
expect,BEHAVE,B2,verb,
expectation,,B2,noun,people: personality
expected,,B2,adjective,
expense,MONEY SPENT,B2,noun,money
experiment,TRY,B2,verb,people: actions
expert,,B2,adjective,people: personality
exploit,USE UNFAIRLY,B2,verb,people: actions
exploit,USE WELL,B2,verb,people: actions
explore,LOOK INTO,B2,verb,people: actions
explosion,BOMB,B2,noun,
export,,B2,verb,"people: actions, shopping, work"
export,,B2,noun,shopping
expose,MAKE PUBLIC,B2,verb,communication
express,,B2,verb,communication
expression,PHRASE,B2,noun,communication
expression,LOOK,B2,noun,"body and health, communication"
expression,SHOWING THOUGHTS,B2,noun,communication
extend,,B2,verb,people: actions
extension,EXTRA TIME,B2,noun,
extension,TELEPHONE,B2,noun,"communication, technology"
extension,DEVELOPMENT,B2,noun,
extensive,,B2,adjective,describing things
extent,SIZE,B2,noun,describing things
external,FROM A DIFFERENT PLACE,B2,adjective,
external,OUTSIDE,B2,adjective,
extract,,B2,verb,people: actions
extract,,B2,noun,"arts and media, communication"
extraordinarily,,B2,adverb,communication
extreme,VERY LARGE,B2,adjective,describing things
extreme,SERIOUS,B2,adjective,
eyebrow,,B2,noun,body and health
eyelash,,B2,noun,body and health
eyelid,,B2,noun,body and health
eyesight,,B2,noun,body and health
face,PROBLEM,B2,verb,
face,ACCEPT,B2,verb,people: personality
face up to sth,,B2,phrasal verb,people: personality
facilities,,B2,noun,buildings
facility,SYSTEM,B2,noun,
fact,REAL THINGS,B2,noun,
factor,,B2,noun,
faculty,TEACHERS,B2,noun,
fade,,B2,verb,
fade away,,B2,phrasal verb,
fail,NOT SUCCEED,B2,verb,
fail,STOP WORKING,B2,verb,technology
fail to do sth,,B2,phrase,people: actions
failure,NO SUCCESS,B2,noun,
failure,STOP WORKING,B2,noun,technology
failure to do sth,,B2,phrase,
faint,SLIGHT,B2,adjective,describing things
faint,,B2,verb,body and health
fair enough,,B2,phrase,communication
fair enough,,B2,phrase,communication
fairly,IN THE RIGHT WAY,B2,adverb,
faith,TRUST,B2,noun,people: personality
faith,STRONG BELIEF,B2,noun,
faith,RELIGION,B2,noun,
faithful,LOYAL,B2,adjective,"people: personality, relationships"
fall,MOVEMENT,B2,noun,
fall apart,BREAK,B2,phrasal verb,
fall apart,HAVE PROBLEMS,B2,phrasal verb,
fall flat on your face,,B2,phrase,
fall for sb,,B2,phrasal verb,"people: actions, people: personality, relationships"
fall out,,B2,phrasal verb,"people: actions, people: personality, relationships"
fall through,,B2,phrasal verb,
FALSE,NOT REAL,B2,adjective,describing things
fame,,B2,noun,people: personality
fantastically,,B2,adverb,communication
fantasy,,B2,noun,
far,VERY MUCH,B2,adverb,communication
far,DISTANT,B2,adjective,
fascinated,,B2,adjective,people: personality
fascinating,,B2,adjective,people: personality
"fasten sth on/to/together, etc.",,B2,phrase,people: actions
fat,,B2,noun,food and drink
fatal,CAUSING DEATH,B2,adjective,body and health
fatal,SERIOUS,B2,adjective,
fate,WHAT HAPPENS,B2,noun,
fate,POWER,B2,noun,
father-in-law,,B2,noun,relationships
fault,BAD QUALITY,B2,noun,
faulty,,B2,adjective,describing things
favorable,,B2,adjective,people: personality
fear,BE WORRIED,B2,verb,people: personality
fear,BE FRIGHTENED OF,B2,verb,people: personality
feather,,B2,noun,animals
feature,PART,B2,noun,
feature,FACE,B2,noun,people: appearance
feature,,B2,verb,
fed up,,B2,adjective,people: personality
feedback,,B2,noun,communication
feel,TOUCH,B2,verb,"body and health, people: actions"
feel,BE AWARE,B2,verb,people: personality
"feel different/strange, etc.",,B2,phrase,people: personality
feeling,OPINION,B2,noun,people: personality
fellow,,B2,adjective,relationships
female,,B2,noun,"animals, people: appearance"
fence,,B2,noun,buildings
field,AREA OF STUDY,B2,noun,education
fierce,VIOLENT,B2,adjective,people: personality
fierce,STRONG,B2,adjective,describing things
fierce,FEELING,B2,adjective,people: personality
fight,ARGUE,B2,verb,communication
fight,JOIN WAR,B2,verb,people: actions
fight,TRY TO STOP,B2,verb,people: actions
fight,TRY TO ACHIEVE,B2,verb,people: actions
fight,ARGUMENT,B2,noun,communication
fight,EFFORT,B2,noun,people: actions
fighting,,B2,noun,people: actions
figure,TYPE OF PERSON,B2,noun,people: personality
figure,PERSON,B2,noun,people: appearance
figure,PICTURE,B2,noun,
figure out sth/sb or figure sth/sb out,,B2,phrasal verb,people: personality
"fill sb with anger/joy/pride, etc.",,B2,phrase,people: personality
finance,CONTROL OF MONEY,B2,noun,money
finance,,B2,verb,"money, people: actions"
financially,,B2,adverb,money
find sb guilty/not guilty,,B2,phrase,crime
find yourself somewhere/doing sth,,B2,phrase,
fine,EXCELLENT,B2,adjective,describing things
fine,,B2,verb,"crime, money, people: actions"
fine,,B2,adverb,describing things
finely,,B2,adverb,
fingernail,,B2,noun,body and health
finish off sth or finish sth off,,B2,phrasal verb,people: actions
fire,SHOOT,B2,verb,people: actions
fire,REMOVE FROM A JOB,B2,verb,"people: actions, work"
fire department,,B2,noun,
firm,NOT SOFT,B2,adjective,describing things
firm,FIXED,B2,adjective,
firm,,B2,noun,work
firmly,STRONGLY,B2,adverb,
firmly,CERTAINLY,B2,adverb,
first language,,B2,noun,communication
firstly,,B2,adverb,communication
"first/second/third, etc. gear",,B2,phrase,travel
"first/second/third/final, etc., round",,B2,phrase,shopping
fisherman,,B2,noun,work
fit in,,B2,phrasal verb,
fit in with sth,,B2,phrasal verb,
fix,PREPARE,B2,verb,"food and drink, people: actions"
fix,DECIDE,B2,verb,people: actions
fixed,ARRANGED,B2,adjective,
"fix sth onto/to/under, etc.",,B2,phrase,people: actions
flame,,B2,noun,
flash,SHINE,B2,verb,
flash,BRIGHT LIGHT,B2,noun,
flash,CAMERA,B2,noun,technology
flashlight,,B2,noun,
flat,WITHOUT AIR,B2,adjective,
flat,,B2,adverb,describing things
flexibility,,B2,noun,
flexible,ABLE TO CHANGE,B2,adjective,
flood,ARRIVE OR FILL,B2,verb,
flow,,B2,verb,
flow,MOVEMENT,B2,noun,
fluency,,B2,noun,communication
fluent,ABILITY,B2,adjective,communication
fluent,LANGUAGE,B2,adjective,communication
fluently,,B2,adverb,communication
fly,CONTROL AIRCRAFT,B2,verb,"people: actions, travel"
focus (sth) on sb/sth,,B2,phrasal verb,
folks,PEOPLE,B2,noun,
folks,PARENTS,B2,noun,relationships
following,,B2,preposition,
follow up sth or follow sth up,,B2,phrasal verb,people: actions
fond,HAPPY,B2,adjective,people: personality
fool,,B2,verb,"people: actions, people: personality"
foolish,,B2,adjective,people: personality
foolishly,,B2,adverb,people: personality
for,SUPPORT,B2,preposition,communication
forbid,,B2,verb,people: actions
force,POWER,B2,noun,people: personality
force,GROUP,B2,noun,
force,GIVE NO CHOICE,B2,verb,people: actions
foreign,OTHER COUNTRIES,B2,adjective,
forever,A LONG TIME,B2,adverb,
forget it,,B2,phrase,
forgive me,,B2,phrase,communication
"for hours/days, etc., on end",,B2,phrase,
form,TYPE,B2,noun,
form,BEGIN TO EXIST,B2,verb,
form,START,B2,verb,"people: actions, work"
formal,CORRECT,B2,adjective,
formerly,,B2,adverb,
for nothing,,B2,phrase,
for once,,B2,phrase,
for once,,B2,phrase,
for real,,B2,phrase,
for real,,B2,phrase,
for some time,,B2,phrase,
forthcoming,HAPPENING SOON,B2,adjective,
for the moment,,B2,phrase,
for the moment,,B2,phrase,
for the sake of sb/sth; for sb's/sth's sake,,B2,phrase,
fortunate,,B2,adjective,
fortune,MONEY,B2,noun,money
fortune,LUCK,B2,noun,
forward,FUTURE,B2,adverb,
found,START,B2,verb,people: actions
fox,,B2,noun,animals
frame,STRUCTURE,B2,noun,buildings
frankly,,B2,adverb,communication
free,NOT LIMITED,B2,adjective,
free,NOT A PRISONER,B2,adjective,
free,NOT USED,B2,adjective,
free,,B2,verb,people: actions
free,NO LIMIT/CONTROL,B2,adverb,
freedom,BEING ALLOWED,B2,noun,people: personality
freely,,B2,adverb,
freeze,PERSON,B2,verb,body and health
freeze,NOT MOVE,B2,verb,people: actions
fresh,RECENT,B2,adjective,
friendliness,,B2,noun,"people: personality, relationships"
frighten,,B2,verb,"people: actions, people: personality"
from,POSITION,B2,preposition,describing things
from,CHANGE,B2,preposition,
from,CAUSE,B2,preposition,
from,PREVENTING,B2,preposition,
from side to side,,B2,phrase,
from side to side,,B2,phrase,
from time to time,,B2,phrase,
from time to time,,B2,phrase,
frost,,B2,noun,natural world
frustration,,B2,noun,people: personality
full,FOOD,B2,adjective,food and drink
function,PURPOSE,B2,noun,
functional,,B2,adjective,
funeral,,B2,noun,relationships
furious,,B2,adjective,people: personality
furiously,,B2,adverb,people: personality
further,MORE,B2,adverb,
furthermore,,B2,adverb,communication
future,WHAT WILL HAPPEN,B2,noun,
gambling,,B2,noun,
gang,CRIMINALS,B2,noun,crime
gang,YOUNG PEOPLE,B2,noun,relationships
gap,SPACE,B2,noun,
gap,DIFFERENCE,B2,noun,
gap,TIME,B2,noun,
gap,ABSENT THING,B2,noun,
gardener,,B2,noun,
gardening,,B2,noun,
gas,SUBSTANCE,B2,noun,natural world
gasoline,,B2,noun,travel
gather,COME TOGETHER,B2,verb,people: actions
gather,COLLECT,B2,verb,people: actions
"gaze at/into/out of, etc.",,B2,phrase,people: actions
gear,VEHICLE PART,B2,noun,travel
gear,EQUIPMENT,B2,noun,clothes
gender,SEX,B2,noun,people: appearance
gender,GRAMMAR,B2,noun,
general,MOST PEOPLE,B2,adjective,
general,NOT LIMITED,B2,adjective,
generally,AS A WHOLE,B2,adverb,communication
generally,BY MOST PEOPLE,B2,adverb,communication
"generally/personally, etc., speaking",,B2,phrase,communication
generate,CREATE,B2,verb,
generate,MAKE ENERGY,B2,verb,technology
generation,TIME,B2,noun,
generation,PRODUCT,B2,noun,
generation,ENERGY,B2,noun,technology
generosity,,B2,noun,people: personality
generously,,B2,adverb,people: personality
genetics,,B2,noun,"body and health, education"
gentleman,,B2,noun,people: personality
gently,,B2,adverb,people: personality
genuine,REAL,B2,adjective,describing things
genuinely,,B2,adverb,
get,UNDERSTAND/HEAR,B2,verb,
get across sth or get sth across,,B2,phrasal verb,communication
get around to sth,,B2,phrasal verb,people: actions
get at sth,,B2,phrasal verb,people: actions
get away,ESCAPE,B2,phrasal verb,travel
get away,GO SOMEWHERE,B2,phrasal verb,travel
get away with sth,,B2,phrasal verb,crime
get back sth or get sth back,,B2,phrasal verb,people: actions
get down to sth,,B2,phrasal verb,people: actions
get hold of sth/sb,,B2,phrase,communication
get in,BE CHOSEN,B2,phrasal verb,
get into sth,BE CHOSEN,B2,phrasal verb,
get on sb's nerves,,B2,phrase,people: personality
get on sb's nerves,,B2,phrase,people: personality
get on with sth,,B2,phrasal verb,
get out of sth/doing sth,,B2,phrasal verb,people: actions
get over sth/sb,GET BETTER,B2,phrasal verb,body and health
get rid of sth,,B2,phrase,
get rid of sth,,B2,phrase,
get sb down,,B2,phrasal verb,people: personality
get sb/sth to do sth,,B2,phrase,
"get the feeling/idea/impression, etc.",,B2,phrase,people: personality
get through sth,,B2,phrasal verb,education
get to do sth,,B2,phrase,
get up,,B2,phrasal verb,people: actions
"give a performance/speech, etc.",,B2,phrase,people: actions
give away sth or give sth away,SECRET,B2,phrasal verb,communication
give birth,,B2,phrase,body and health
give birth,,B2,phrase,body and health
give in,ADMIT DEFEAT,B2,phrasal verb,shopping
give up,,B2,phrasal verb,people: actions
give way to sth,,B2,phrase,
give way to sth,,B2,phrase,
glad,WILLING,B2,adjective,
glance,LOOK,B2,noun,people: actions
"glance at/over/through, etc.",,B2,phrase,people: actions
global,,B2,adjective,natural world
globally,,B2,adverb,natural world
global warming,,B2,noun,natural world
go,SONG,B2,verb,
go,TIME,B2,verb,
go,SOUND/MOVEMENT,B2,verb,
go,WORKING,B2,verb,technology
go,STOP WORKING,B2,verb,
go ahead,START,B2,phrasal verb,people: actions
go ahead,ALLOW,B2,phrasal verb,communication
go blank,,B2,phrase,
go by,,B2,phrasal verb,
god,SPIRIT,B2,noun,
go for sth,CHOOSE,B2,phrasal verb,
go for sth,TRY TO GET,B2,phrasal verb,people: actions
go into detail,,B2,phrase,communication
go into detail,,B2,phrase,communication
golden,SPECIAL,B2,adjective,
good,HELP,B2,noun,
Good for you!,,B2,phrase,
goods,,B2,noun,shopping
go off,EXPLODE,B2,phrasal verb,
go off,MAKE NOISE,B2,phrasal verb,
Google,,B2,verb,technology
go on,CONTINUE DOING,B2,phrasal verb,people: actions
go over sth,,B2,phrasal verb,
go red,,B2,phrase,people: personality
go red,,B2,phrase,people: personality
gossip,,B2,noun,communication
gossip,,B2,verb,communication
go through sth,,B2,phrasal verb,
govern,,B2,verb,"people: actions, politics"
government,PROCESS,B2,noun,politics
grab,TAKE QUICKLY,B2,verb,
grade,LEVEL,B2,noun,describing things
gradual,,B2,adjective,
gradually,,B2,adverb,
graduate,,B2,verb,education
grant,,B2,noun,money
grant,GIVE,B2,verb,communication
graph,,B2,noun,communication
grave,,B2,noun,
great,IMPORTANT,B2,adjective,
great big,,B2,phrase,describing things
greatly,,B2,adverb,communication
greatness,,B2,noun,people: personality
greedy,,B2,adjective,people: personality
green,ENVIRONMENT,B2,adjective,natural world
grief,SADNESS,B2,noun,people: personality
grip,HOLD,B2,verb,people: actions
grip,HOLD,B2,noun,people: actions
ground,SOIL,B2,noun,natural world
growing,,B2,adjective,describing things
grown-up,,B2,noun,people: appearance
grown-up,,B2,adjective,people: appearance
growth,,B2,noun,
"grow tired/old/calm, etc.",,B2,phrase,
guarantee,,B2,verb,communication
guarantee,,B2,noun,shopping
guard,PROTECT,B2,verb,people: actions
guard,WATCH,B2,verb,people: actions
guest,TV,B2,noun,arts and media
guidance,,B2,noun,communication
guilt,ILLEGAL,B2,noun,crime
guilt,FEELING,B2,noun,people: personality
guilty,RESPONSIBLE,B2,adjective,crime
gulf,WATER,B2,noun,
gum,SWEET,B2,noun,food and drink
gum,MOUTH,B2,noun,body and health
guts,BRAVERY,B2,noun,people: personality
gymnastic,,B2,adjective,shopping
habit,BAD ACTIVITY,B2,noun,"body and health, people: actions"
hair,SINGLE PIECE,B2,noun,"body and health, people: appearance"
half,A LOT,B2,noun,describing things
hammer,,B2,noun,
hand in hand,,B2,phrase,
handle,,B2,noun,
handout,,B2,noun,communication
hand over sb/sth or hand sb/sth over,,B2,phrasal verb,people: actions
hang,KILL,B2,verb,"crime, people: actions"
happily,WILLING,B2,adverb,people: personality
hard drive,,B2,noun,technology
hardly,CERTAINLY NOT,B2,adverb,communication
hard-working,,B2,adjective,
harm,,B2,verb,people: actions
harm,,B2,noun,
harmful,,B2,adjective,describing things
harmless,,B2,adjective,describing things
harmony,PEACE,B2,noun,"people: personality, relationships"
harvest,,B2,noun,natural world
haunt,GHOST,B2,verb,
haunt,MEMORY/FEELING,B2,verb,people: personality
have an eye for sth,IDIOM,B2,phrase,
have heard of sb/sth,,B2,phrasal verb,
have/keep an open mind,,B2,phrase,
have/keep an open mind,,B2,phrase,
have nothing to do with sb,,B2,phrase,
have nothing to do with sb/sth,,B2,phrase,
have nothing to do with sb/sth,,B2,phrase,
"have sb over/to stay, etc.",,B2,phrase,
have to do with sth,,B2,phrase,
head,LEADER,B2,verb,work
"head back/down/for, etc.",,B2,phrase,people: actions
headquarters,,B2,noun,"buildings, work"
heal,,B2,verb,body and health
heart,SHAPE,B2,noun,
heat up sth or heat sth up,,B2,phrasal verb,"food and drink, people: actions"
heaven,AFTER LIFE,B2,noun,
heaven,SOMETHING NICE,B2,noun,
hedge,,B2,noun,natural world
heel,BODY PART,B2,noun,body and health
hell,RELIGION,B2,noun,
hell,BAD EXPERIENCE,B2,noun,
helmet,,B2,noun,clothes
help,MAKE BETTER,B2,verb,
help,THING THAT HELPS,B2,noun,
helper,,B2,noun,people: actions
help out (sb) or help (sb) out,,B2,phrasal verb,people: actions
here,AT THIS POINT,B2,adverb,
here and there,,B2,phrase,
here and there,,B2,phrase,
herself,EMPHASIS,B2,pronoun,
hesitate,PAUSE,B2,verb,people: actions
hidden,NOT KNOW ABOUT,B2,adjective,
high,IMPORTANT,B2,adjective,describing things
highlight,NOTICE,B2,verb,communication
highlight,,B2,verb,communication
highlight,,B2,noun,
highly,HIGH LEVEL,B2,adverb,
high-tech,,B2,adjective,technology
himself,EMPHASIS,B2,pronoun,
hint,ADVICE,B2,noun,communication
hint,SUGGESTION,B2,noun,communication
hip,,B2,noun,body and health
hire,EMPLOY,B2,verb,"people: actions, work"
hit,AFFECT,B2,verb,
hit,INTERNET,B2,noun,technology
hi-tech,,B2,adjective,technology
hit it off,,B2,phrasal verb,relationships
hold,PRISONER,B2,verb,"crime, people: actions"
hold,COMPETITION,B2,verb,shopping
hold,SUPPORT,B2,noun,people: actions
hold your breath,,B2,phrase,body and health
hold your breath,,B2,phrase,"body and health, people: actions"
"Honduran/Canadian/Indian, etc. by birth",,B2,phrase,
honestly,HONEST,B2,adverb,people: personality
honesty,,B2,noun,people: personality
honor,RESPECT,B2,noun,people: personality
honor,PRIDE,B2,noun,people: personality
hood,,B2,noun,clothes
hook,,B2,noun,buildings
hopefully,HOPEFUL WAY,B2,adverb,people: personality
hopeless,BAD AT SOMETHING,B2,adjective,people: personality
horn,SOUND,B2,noun,travel
horror,FEELING,B2,noun,people: personality
host,PERSON,B2,noun,relationships
hourly,EVERY HOUR,B2,adjective,
hourly,PER HOUR,B2,adjective,
household,,B2,noun,relationships
"however cold/difficult/slowly, etc.",,B2,phrase,
human rights,,B2,noun,
humor,,B2,noun,people: personality
hunger,NOT ENOUGH FOOD,B2,noun,"body and health, food and drink"
hunt,SEARCH,B2,verb,people: actions
hunting,,B2,noun,"people: actions, shopping"
hurry up sb/sth or hurry sb/sth up,,B2,phrasal verb,people: actions
hyphen,,B2,noun,communication
icon,FAMOUS PERSON/THING,B2,noun,
icon,COMPUTER,B2,noun,technology
icy,WITHOUT FEELING,B2,adjective,people: personality
idea,THOUGHT,B2,noun,people: personality
ideal,,B2,adjective,describing things
ideally,PERFECTLY,B2,adverb,
ideally,PERFECT SITUATION,B2,adverb,
identical,,B2,adjective,
identification,RECOGNIZING,B2,noun,people: actions
identify,RECOGNIZE,B2,verb,people: actions
identify,DISCOVER,B2,verb,people: actions
identify with sb/sth,,B2,phrasal verb,people: personality
identity,WHO SOMEONE IS,B2,noun,people: personality
identity,CHARACTERISTICS,B2,noun,
idiom,,B2,noun,communication
idiot,,B2,noun,people: personality
if,WOULD/MIGHT/COULD HAVE,B2,conjunction,
if only,,B2,phrase,communication
if so,,B2,phrase,
if so,,B2,phrase,
if you ask me,,B2,phrase,
ignore,,B2,verb,people: actions
I guess so/not,,B2,phrase,communication
I know,,B2,phrase,communication
ill,,B2,adjective,body and health
illegal,,B2,adjective,crime
illegally,,B2,adverb,crime
illness,BEING ILL,B2,noun,body and health
illustrate,PICTURE,B2,verb,"arts and media, people: actions"
image,PUBLIC,B2,noun,people: personality
image,PICTURE,B2,noun,arts and media
imagine,GUESS,B2,verb,
immediate,IMPORTANT NOW,B2,adjective,
immediate,WITHOUT DELAY,B2,adjective,
immigrant,,B2,noun,
immigration,COMING INTO A COUNTRY,B2,noun,travel
immoral,,B2,adjective,
impact,EFFECT,B2,noun,
impatient,EASILY ANNOYED,B2,adjective,people: personality
impatient,WANTING SOMETHING TO HAPPEN,B2,adjective,people: personality
impatiently,,B2,adverb,people: personality
imperative,,B2,noun,
implement,,B2,verb,people: actions
impolite,,B2,adjective,people: personality
import,,B2,verb,"shopping, work"
importantly,,B2,adverb,
impress,,B2,verb,people: personality
impressed,,B2,adjective,people: personality
impression,OPINION,B2,noun,people: personality
impression,EFFECT,B2,noun,
impressive,,B2,adjective,describing things
improved,,B2,adjective,
in,RESULT,B2,preposition,
in,SENT,B2,adverb,
inaccurate,,B2,adjective,describing things
in actual fact,,B2,phrase,communication
in all,,B2,phrase,
in all,,B2,phrase,describing things
in any case,,B2,phrase,communication
in any case,,B2,phrase,communication
in a row,,B2,phrase,
in a row,,B2,phrase,
in a way or in some/many ways,,B2,phrase,
in brief,,B2,phrase,communication
in brief,,B2,phrase,communication
incident,,B2,noun,
income,,B2,noun,"money, work"
In conclusion,,B2,phrase,communication
In conclusion,,B2,phrase,communication
in connection with sth,,B2,phrase,
in connection with sth,,B2,phrase,
inconvenient,,B2,adjective,describing things
increase,RISE,B2,noun,describing things
increasingly,,B2,adverb,
incredible,NOT BELIEVE,B2,adjective,
incredibly,EXTREMELY,B2,adverb,communication
independence,WITHOUT HELP,B2,noun,people: personality
independence,FREE STATE,B2,noun,politics
independent,NOT RULED,B2,adjective,politics
independent,NOT INFLUENCED,B2,adjective,
independently,,B2,adverb,
in depth,,B2,phrase,
indicate,SAY,B2,verb,communication
individual,PERSON,B2,noun,
in due course,,B2,phrase,
in due course,,B2,phrase,
industrial,,B2,adjective,work
industry,PRODUCTION,B2,noun,work
inexperienced,,B2,adjective,people: personality
infection,,B2,noun,body and health
inflation,,B2,noun,money
influence,POWER,B2,noun,people: personality
influence,,B2,verb,
informal,,B2,adjective,
in general,,B2,phrase,communication
in general,,B2,phrase,communication
"in good/bad, etc. shape",,B2,phrase,"body and health, describing things"
"in good/high/low, etc. spirits",,B2,phrase,people: personality
"in good/high/low, etc. spirits",,B2,phrase,people: personality
ingredient,SUCCESS,B2,noun,
inhabitant,,B2,noun,buildings
in honor of sb/sth,,B2,phrase,people: personality
in honor of sb/sth,,B2,phrase,people: personality
initial,,B2,adjective,
initially,,B2,adverb,
in itself,,B2,phrase,
injured,,B2,adjective,body and health
injury,,B2,noun,body and health
inner,LOCATION,B2,adjective,describing things
inner,FEELINGS,B2,adjective,people: personality
innocent,NOT GUILTY,B2,adjective,crime
innocent,NO EXPERIENCE,B2,adjective,people: personality
innocent,NOT DESERVED,B2,adjective,crime
innocently,,B2,adverb,"crime, people: personality"
in other words,,B2,phrase,communication
in other words,,B2,phrase,communication
in other words,,B2,phrase,communication
in person,,B2,phrase,
in person,,B2,phrase,
in place of sth,,B2,phrase,
in place of sth,,B2,phrase,
