Kanji,Hiragana,English,JLPT
初旬,しょじゅん,first 10 days of the month,N2
書籍,しょせき,"book,publication",N2
食器,しょっき,tableware,N2
,ショップ,a shop,N2
書店,しょてん,bookshop,N2
書道,しょどう,calligraphy,N2
白髪,しらが,"white or grey hair,trendy hair bleaching",N2
知合い,しりあい,acquaintance,N2
,シリーズ,series,N2
私立,しりつ,private (establishment),N2
資料,しりょう,"materials,data",N2
汁,しる,"juice,sap,soup,broth",N2
素人,しろうと,"amateur,novice",N2
芯,しん,"core,heart,wick,marrow",N2
新幹線,しんかんせん,"bullet train (very high speed),shinkansen",N2
真空,しんくう,"vacuum,hollow,empty",N2
信ずる,しんずる,"to believe,to believe in,to place trust in",N2
心身,しんしん,mind and body,N2
申請,しんせい,"application,request,petition",N2
人造,じんぞう,"man-made,synthetic,artificial",N2
寝台,しんだい,"bed,couch",N2
診断,しんだん,diagnosis,N2
侵入,しんにゅう,"penetration,invasion,raid,aggression,trespass",N2
人文科学,じんぶんかがく,"social sciences,humanities",N2
人命,じんめい,(human) life,N2
深夜,しんや,late at night,N2
森林,しんりん,"forest,woods",N2
親類,しんるい,"relation,kin",N2
針路,しんろ,"course,direction,compass bearing",N2
神話,しんわ,"myth,legend",N2
酢,す,vinegar,N2
水産,すいさん,"marine products,fisheries",N2
炊事,すいじ,"cooking,culinary arts",N2
水蒸気,すいじょうき,"water vapour,steam",N2
水素,すいそ,hydrogen,N2
垂直,すいちょく,"vertical,perpendicular",N2
推定,すいてい,"presumption,assumption,estimation",N2
水滴,すいてき,drop of water,N2
水筒,すいとう,"canteen,flask,water bottle",N2
随筆,ずいひつ,"essays,miscellaneous writings",N2
水分,すいぶん,moisture,N2
水平,すいへい,"water level,horizon",N2
水平線,すいへいせん,horizon,N2
水曜,すいよう,Wednesday,N2
,ずうずうしい,"impudent,shameless",N2
,ずうっと,,N2
末っ子,すえっこ,youngest child,N2
,スカーフ,scarf,N2
図鑑,ずかん,picture book,N2
杉,すぎ,Japanese cedar,N2
好き嫌い,すききらい,"likes and dislikes,taste",N2
好き好き,すきずき,matter of taste,N2
透き通る,すきとおる,to be(come) transparent,N2
隙間,すきま,"crevice,crack,gap,opening",N2
,スクール,school,N2
,すくなくとも,at least,N2
図形,ずけい,figure,N2
,スケジュール,schedule,N2
鈴,すず,bell,N2
涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool",N2
,スタート,start,N2
,スチュワーデス,stewardess,N2
,すっきり,"shapely,clear,neat",N2
,すっぱい,"sour,acid",N2
,ステージ,"(1) stage,(2) performance",N2
棄てる,すてる,,N2
,ストッキング,stockings,N2
,ストップ,stop,N2
素直,すなお,"obedient,meek,docile,unaffected",N2
頭脳,ずのう,"head,brains,intellect",N2
,スピーカー,speaker,N2
図表,ずひょう,"chart,diagram,graph",N2
,スマート,"smart,stylish,slim",N2
住まい,すまい,"dwelling,house,residence,address",N2
,すまない,sorry (phrase),N2
墨,すみ,ink,N2
澄む,すむ,"to clear (e.g. weather),to become transparent",N2
清む,すむ,,N2
相撲,すもう,sumo wrestling,N2
,スライド,slide,N2
,ずらす,"to put off,to delay",N2
,ずらり,,N2
掏摸,すり,pickpocket,N2
刷る,する,to print,N2
狡い,ずるい,"sly,cunning",N2
,すれちがう,"to pass by one another,to disagree",N2
滑れる,ずれる,,N2
寸法,すんぽう,"measurement,size,dimension",N2
姓,せい,"surname,family name",N2
税関,ぜいかん,customs house,N2
製作,せいさく,"manufacture,production",N2
制作,せいさく,"work (film, book)",N2
性質,せいしつ,"nature,property,disposition",N2
清書,せいしょ,clean copy,N2
青少年,せいしょうねん,"youth,young person",N2
整数,せいすう,integer,N2
清掃,せいそう,cleaning,N2
生存,せいぞん,"existence,being,survival",N2
生長,せいちょう,"growth,increment",N2
政党,せいとう,(member of) political party,N2
生年月日,せいねんがっぴ,birth date,N2
性能,せいのう,"ability,efficiency",N2
整備,せいび,"adjustment,completion,consolidation",N2
成分,せいぶん,"ingredient,component,composition",N2
性別,せいべつ,"distinction by sex,sex,gender",N2
正方形,せいほうけい,square,N2
正門,せいもん,"main gate,main entrance",N2
成立,せいりつ,"coming into existence,arrangements,establishment,completion",N2
西暦,せいれき,"Christian Era,anno domini (A.D.)",N2
背負う,せおう,"to be burdened with,to carry on back or shoulder",N2
赤道,せきどう,equator,N2
折角,せっかく,"with trouble,at great pains,long-awaited",N2
接近,せっきん,"getting closer,drawing nearer,approaching",N2
石鹸,せっけん,soap,N2
接する,せっする,"to come in contact with,to connect,to attend,to receive",N2
,せっせと,,N2
接続,せつぞく,"(1) connection,union,join,link,(2) changing trains",N2
瀬戸物,せともの,"earthenware,crockery,china",N2
,ぜひとも,by all means (with sense of not taking no for an answer),N2
迫る,せまる,"to draw near,to press",N2
,ゼミ,(n) seminar,N2
,せめて,"offense,method of attack",N2
攻める,せめる,"to attack,to assault",N2
,セメント,cement,N2
栓,せん,"stopper,cork,stopcock",N2
前後,ぜんご,"around,throughout,front and back,before and behind,before and after",N2
洗剤,せんざい,"detergent,washing material",N2
全集,ぜんしゅう,complete works,N2
全身,ぜんしん,"the whole body,full-length (portrait)",N2
扇子,せんす,folding fan,N2
専制,せんせい,"despotism,autocracy",N2
先々月,せんせんげつ,month before last,N2
先々週,せんせんしゅう,,N2
先祖,せんぞ,ancestor,N2
先端,せんたん,"pointed end,tip,fine point",N2
,センチ,"centimeter,centi-,10^-2",N2
宣伝,せんでん,"propaganda,publicity",N2
先頭,せんとう,"head,lead,vanguard,first",N2
全般,ぜんぱん,"(the) whole,universal,wholly,general",N2
扇風機,せんぷうき,electric fan,N2
線路,せんろ,"line,track,roadbed",N2
相違,そうい,"difference,discrepancy,variation",N2
,そういえば,which reminds me ..,N2
雑巾,ぞうきん,"house-cloth,dust cloth",N2
増減,ぞうげん,"increase and decrease,fluctuation",N2
倉庫,そうこ,"storehouse,warehouse,godown",N2
相互,そうご,"mutual,reciprocal",N2
創作,そうさく,"production,literary creation,work",N2
葬式,そうしき,funeral,N2
,そうして,"and,like that",N2
造船,ぞうせん,shipbuilding,N2
騒々しい,そうぞうしい,"noisy,boisterous",N2
増大,ぞうだい,enlargement,N2
,そうっと,,N2
送別,そうべつ,"farewell,send-off",N2
草履,ぞうり,"zoori (Japanese footwear),sandals",N2
総理大臣,そうりだいじん,Prime Minister,N2
送料,そうりょう,"postage,carriage",N2
属する,ぞくする,"to belong to,to come under,to be affiliated with,to be subject to",N2
続々,ぞくぞく,"successively,one after another",N2
速達,そくたつ,"express,special delivery",N2
測定,そくてい,measurement,N2
測量,そくりょう,"measurement,surveying",N2
速力,そくりょく,speed,N2
素質,そしつ,"character,qualities,genius",N2
祖先,そせん,ancestor,N2
,そそっかしい,"careless,thoughtless",N2
卒直,そっちょく,"frankness,candour,openheartedness",N2
具える,そなえる,to be furnished with,N2
,そのうえ,"in addition,furthermore",N2
,そのころ,,N2
,そのため,"hence,for that reason",N2
,そのほか,otherwise,N2
蕎麦,そば,soba (buckwheat noodles),N2
剃る,そる,to shave,N2
,それなのに,,N2
逸れる,それる,"to stray (turn) from subject,to get lost,to go astray",N2
揃う,そろう,"to become complete,to be equal,to be all present,to gather",N2
揃える,そろえる,"to put things in order,to arrange,to make uniform,to get something ready",N2
算盤,そろばん,abacus,N2
存じる,ぞんじる,(hum) to know,N2
存ずる,ぞんずる,,N2
損得,そんとく,"loss and gain,advantage and disadvantage",N2
田ぼ,たんぼ,"paddy field,farm",N2
だいいち,（副）,"first,foremost,# 1",N2
退院,たいいん,leaving hospital,N2
大学院,だいがくいん,graduate school,N2
大工,だいく,carpenter,N2
体系,たいけい,"system,organization",N2
太鼓,たいこ,"drum,tambourine",N2
対策,たいさく,"counter-plan,counter-measure",N2
大して,たいして,"(not so) much,(not) very",N2
対照,たいしょう,"contrast,antithesis,comparison",N2
大小,だいしょう,size,N2
体制,たいせい,"order,system,structure,set-up,organization",N2
体積,たいせき,"capacity,volume",N2
大層,たいそう,"very much,exaggerated,very fine",N2
体操,たいそう,"gymnastics,physical exercises,calisthenics",N2
大分,だいぶん,"considerably,greatly,a lot",N2
大木,たいぼく,large tree,N2
題名,だいめい,title,N2
代名詞,だいめいし,pronoun,N2
,タイア,"tire,tyre",N2
,ダイヤグラム,diagram,N2
,ダイヤモンド,diamond,N2
,ダイヤル,dial,N2
対立,たいりつ,"confrontation,opposition,antagonism",N2
田植え,たうえ,rice planting,N2
絶えず,たえず,constantly,N2
楕円,だえん,ellipse,N2
高める,たかめる,"to raise,to lift,to boost",N2
耕す,たがやす,"to till,to plow,to cultivate",N2
滝,たき,waterfall,N2
炊く,たく,"to boil,to cook",N2
焚く,たく,"to burn,to kindle,to build a fire",N2
蓄える,たくわえる,"to store,to lay in stock",N2
竹,たけ,"bamboo,middle (of a three-tier ranking system)",N2
助かる,たすかる,"to be saved,to be rescued,to survive,to be helpful",N2
只,ただ,"free of charge,mere,sole,only,usual,common",N2
但し,ただし,"but,however,provided that",N2
畳む,たたむ,to fold (clothes),N2
立ち止まる,たちどまる,"to stop,to halt,to stand still",N2
,たちまち,"at once,in a moment,suddenly,all at once",N2
建つ,たつ,"to erect,to be erected,to be built",N2
発つ,たつ,"to depart (on a plane, train, etc.)",N2
脱線,だっせん,"derailment,digression",N2
妥当,だとう,"valid,proper,right,appropriate",N2
例える,たとえる,"to compare,to liken,to speak figuratively,to illustrate,to use a simile",N2
頼もしい,たのもしい,"reliable,trustworthy,hopeful,promising",N2
足袋,たび,"tabi,Japanese socks (with split toe)",N2
,ダブル,double,N2
,だます,"to trick,to cheat,to deceive",N2
溜まる,たまる,"to collect,to gather,to save",N2
,ダム,dumb,N2
溜息,ためいき,a sigh,N2
,ためらう,to hesitate,N2
溜める,ためる,"to amass,to accumulate",N2
,だらしない,"slovenly,loose,a slut",N2
足る,たる,"to be sufficient,to be enough",N2
段階,だんかい,"gradation,grade,stage",N2
短期,たんき,short term,N2
炭鉱,たんこう,"coal mine,coal pit",N2
短所,たんしょ,"(1) defect,demerit,weak point,(2) disadvantage",N2
,たんす,chest of drawers,N2
淡水,たんすい,fresh water,N2
断水,だんすい,water outage,N2
単数,たんすう,singular (number),N2
団地,だんち,multi-unit apartments,N2
断定,だんてい,"conclusion,decision",N2
短編,たんぺん,"short (e.g. story, film)",N2
誓う,ちかう,"to swear,to vow,to take an oath,to pledge",N2
地下水,ちかすい,underground water,N2
近々,ちかぢか,"nearness,before long",N2
近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with",N2
近寄る,ちかよる,"to approach,to draw near",N2
力強い,ちからづよい,"reassuring,emboldened",N2
,ちぎる,"to cut up fine,to pick (fruit)",N2
地質,ちしつ,geological features,N2
知人,ちじん,"friend,acquaintance",N2
地帯,ちたい,"area,zone",N2
縮む,ちぢむ,"to shrink,to be contracted",N2
縮める,ちぢめる,"to shorten,to reduce,to boil down,to shrink",N2
縮れる,ちぢれる,"to be wavy,to be curled",N2
,チップ,"(1) gratuity,tip,(2) chip",N2
地点,ちてん,"site,point on a map",N2
地名,ちめい,place name,N2
茶色い,ちゃいろい,,N2
着々,ちゃくちゃく,steadily,N2
茶碗,ちゃわん,"rice bowl,tea cup,teacup",N2
中間,ちゅうかん,"middle,midway,interim",N2
中旬,ちゅうじゅん,second third of a month,N2
抽象,ちゅうしょう,abstract,N2
中世,ちゅうせい,"Middle Ages,mediaeval times",N2
中性,ちゅうせい,"neuter gender,neutral (chem.),indifference,sterility",N2
中途,ちゅうと,"in the middle,half-way",N2
中年,ちゅうねん,middle-aged,N2
超過,ちょうか,"excess,being more than",N2
彫刻,ちょうこく,"carving,engraving,sculpture",N2
長所,ちょうしょ,"(1) strong point,merit,(2) advantage",N2
長女,ちょうじょ,eldest daughter,N2
調整,ちょうせい,"regulation,adjustment,tuning",N2
調節,ちょうせつ,"regulation,adjustment,control",N2
長短,ちょうたん,"length,long and short,+-",N2
頂点,ちょうてん,"top,summit",N2
長男,ちょうなん,eldest son,N2
長方形,ちょうほうけい,"rectangle,oblong",N2
調味料,ちょうみりょう,"condiment,seasoning",N2
,チョーク,"chock,chalk",N2
直後,ちょくご,immediately following,N2
直線,ちょくせん,straight line,N2
直前,ちょくぜん,just before,N2
直通,ちょくつう,direct communication,N2
直流,ちょくりゅう,direct current,N2
貯蔵,ちょぞう,"storage,preservation",N2
直角,ちょっかく,right angle,N2
直径,ちょっけい,diameter,N2
散らかす,ちらかす,"to scatter around,to leave untidy",N2
散らかる,ちらかる,"to be in disorder,to lie scattered around",N2
散らす,ちらす,"to scatter,to disperse,to distribute",N2
塵紙,ちりがみ,"tissue paper,toilet paper",N2
散る,ちる,"to fall,to scatter (e.g. blossoms)",N2
追加,ついか,"addition,supplement,appendix",N2
,ついで,"opportunity,occasion",N2
通貨,つうか,currency,N2
通勤,つうきん,commuting to work,N2
通ずる,つうずる,,N2
通知,つうち,"notice,notification",N2
通帳,つうちょう,passbook,N2
通訳,つうやく,interpretation,N2
通用,つうよう,"popular use,circulation",N2
通路,つうろ,"passage,pathway",N2
付合う,つきあう,"to associate with,to keep company with,to get on with",N2
突き当たり,つきあたり,end (e.g. of street),N2
突き当たる,つきあたる,"to run into,to collide with",N2
月日,つきひ,"time,years,days",N2
点く,つく,"to catch fire,(electricity) comes on",N2
突く,つく,"(1) to thrust,to strike,(2) to poke",N2
次ぐ,つぐ,"to rank next to,to come after",N2
作る/造る,つくる,"to make,to create",N2
着ける,つける,"(1) to attach,to join,to add,to append",N2
点ける,つける,"to turn on,to switch on,to light up",N2
浸ける,つける,"to dip in,to soak",N2
伝わる,つたわる,"to be handed down,to be introduced,to be transmitted",N2
突っ込む,つっこむ,"to plunge into,to go into deeply",N2
務める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)",N2
努める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)",N2
綱,つな,rope,N2
繋がり,つながり,"connection,link,relationship",N2
繋がる,つながる,"to be tied together,to be connected to,to be related to",N2
繋げる,つなげる,to connect,N2
粒,つぶ,grain,N2
潰す,つぶす,"to smash,to waste",N2
潰れる,つぶれる,"to be smashed,to go bankrupt",N2
,つまずく,"to stumble,to trip",N2
詰まる,つまる,"to be blocked,to be packed",N2
積む,つむ,"to pile up,to stack",N2
爪,つめ,"fingernail or toenail,claw,talon,hoof",N2
艶,つや,"gloss,glaze",N2
強気,つよき,"firm,strong",N2
釣り合う,つりあう,"to balance,to be in harmony,to suit",N2
吊る,つる,to hang,N2
吊す,つるす,to hang,N2
出合い,であい,an encounter,N2
手洗い,てあらい,"restroom,lavatory,hand-washing",N2
定員,ていいん,"fixed number of regular personnel,capacity (of boat, etc.)",N2
定価,ていか,established price,N2
低下,ていか,"fall,decline,lowering,deterioration",N2
定期券,ていきけん,"commuter pass,season ticket",N2
定休日,ていきゅうび,regular holiday,N2
停止,ていし,"suspension,interruption,stoppage,ban",N2
停車,ていしゃ,stopping (e.g. train),N2
停電,ていでん,failure of electricity,N2
出入り,でいり,"in and out,coming and going,free association,income and expenditure,debits and credit",N2
出入口,でいりぐち,exit and entrance,N2
手入れ,ていれ,"repairs,maintenance",N2
,テーマ,"(n) theme,project,topic (de: Thema)",N2
出掛ける,でかける,"to depart,to set out,to start,to be going out",N2
出来上がり,できあがり,"be finished,ready,made for,cut out",N2
出来上がる,できあがる,"(1) to be finished,to be ready,by definition,(2) to be very drunk",N2
的確,てきかく,"precise,accurate",N2
適確,てきかく,"precise,accurate",N2
手首,てくび,wrist,N2
凸凹,でこぼこ,"unevenness,roughness,ruggedness",N2
手頃,てごろ,"moderate,handy",N2
,でたらめ,"(1) irresponsible utterance,nonsense,nonsensical,(2) random",N2
手帳,てちょう,notebook,N2
鉄橋,てっきょう,"railway bridge,iron bridge",N2
手続き,てつづき,"procedure,(legal) process,formalities",N2
鉄砲,てっぽう,gun,N2
,テニスコート,tennis court,N2
手拭い,てぬぐい,(hand) towel,N2
手前,てまえ,"before,this side,we,you",N2
出迎え,でむかえ,"meeting,reception",N2
出迎える,でむかえる,"to meet,to greet",N2
照らす,てらす,"to shine on,to illuminate",N2
照る,てる,to shine,N2
展開,てんかい,"develop,expansion (opposite of compression)",N2
伝記,でんき,"biography,life story",N2
電球,でんきゅう,light bulb,N2
点数,てんすう,"marks,points,score,runs",N2
伝染,でんせん,contagion,N2
電池,でんち,battery,N2
点々,てんてん,"here and there,little by little",N2
転々,てんてん,,N2
電柱,でんちゅう,"telephone pole,telegraph pole,lightpole",N2
天皇,てんのう,Emperor of Japan,N2
電波,でんぱ,electro-magnetic wave,N2
,テンポ,tempo,N2
電流,でんりゅう,electric current,N2
電力,でんりょく,electric power,N2
問い合わせ,といあわせ,"enquiry,ENQ",N2
銅,どう,copper,N2
統一,とういつ,"unity,consolidation,uniformity",N2
同格,どうかく,"the same rank,equality,apposition",N2
峠,とうげ,"ridge,(mountain) pass,difficult part",N2
統計,とうけい,"scattering,a scatter,dispersion",N2
動作,どうさ,"action,movements,motions,bearing,behaviour,manners",N2
東西,とうざい,"East and West,whole country",N2
当日,とうじつ,"appointed day,very day",N2
投書,とうしょ,"letter to the editor,letter from a reader,contribution",N2
登場,とうじょう,entry (on stage),N2
,どうせ,"anyhow,in any case,at any rate",N2
,どうぞよろしく,pleased to meet you,N2
灯台,とうだい,lighthouse,N2
盗難,とうなん,"theft,robbery",N2
当番,とうばん,being on duty,N2
等分,とうぶん,division into equal parts,N2
透明,とうめい,"transparency,cleanness",N2
灯油,とうゆ,"lamp oil,kerosene",N2
東洋,とうよう,Orient,N2
童話,どうわ,fairy tale,N2
通り掛かる,とおりかかる,to happen to pass by,N2
溶かす,とかす,"to melt,to dissolve",N2
尖る,とがる,"to taper to a point,to become sharp,to be sour,to look displeased",N2
,どきどき,"throb,beat (fast)",N2
溶く,とく,to dissolve (paint),N2
退く,どく,"(1) to retreat,to recede,to withdraw",N2
特殊,とくしゅ,"special,unique",N2
特色,とくしょく,"characteristic,feature",N2
特長,とくちょう,"forte,merit",N2
特定,とくてい,"specific,special,particular",N2
特売,とくばい,special sale,N2
溶け込む,とけこむ,to melt into,N2
溶ける,とける,"to melt,to thaw,to fuse,to dissolve",N2
退ける,どける,"to remove,to take away,to dislodge,to put something out of the way",N2
床の間,とこのま,alcove,N2
床屋,とこや,barber,N2
所々,ところどころ,"here and there,some parts (of something)",N2
都心,としん,heart (of city),N2
戸棚,とだな,"cupboard,locker,closet,wardrobe",N2
,とっくに,"long ago,already,a long time ago",N2
,どっと,suddenly,N2
整う,ととのう,"to be prepared,to be in order,to be put in order,to be arranged",N2
留まる,とどまる,"(1) to be fixed,(2) to abide,to stay (in the one place)",N2
,どなる,"to shout,to yell",N2
飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive",N2
跳ぶ,とぶ,"to jump,to fly,to leap",N2
留まる,とまる,"(1) to be fixed,(2) to abide,to stay (in the one place)",N2
泊める,とめる,"to give shelter to,to lodge",N2
,ともかく,"anyhow,anyway,somehow or other,generally speaking,in any case",N2
捕える,とらえる,"to seize,to grasp,to capture,to arrest",N2
取り入れる,とりいれる,"to harvest,to take in,to adopt",N2
取り消す,とりけす,to cancel,N2
取り出す,とりだす,"to take out,to produce,to pick out",N2
採る,とる,"(1) to adopt (measure, proposal),(2) to pick (fruit)",N2
捕る,とる,"to take,to catch (fish),to capture",N2
,トレーニング,training,N2
丼,どんぶり,"porcelain bowl,bowl of rice with food on top",N2
内科,ないか,"internist clinic,internal medicine",N2
内線,ないせん,"phone extension,indoor wiring,inner line",N2
,ナイロン,nylon,N2
治す,なおす,"to cure,to heal,to fix,to correct,to repair",N2
永い,ながい,"long,lengthy",N2
仲直り,なかなおり,"reconciliation,make peace with",N2
長引く,ながびく,"to be prolonged,to drag on",N2
中身,なかみ,"contents,interior,substance,filling,(sword) blade",N2
中味,なかみ,"contents,interior,substance,filling,(sword) blade",N2
中指,なかゆび,middle finger,N2
仲良し,なかよし,"intimate friend,bosom buddy,chum",N2
慰める,なぐさめる,"to comfort,to console",N2
亡くす,なくす,"to lose someone, wife, child, etc",N2
,なぐる,"to strike,to hit",N2
為す,なす,"to accomplish,to do",N2
謎謎,なぞなぞ,"riddle,puzzle,enigma",N2
傾らか,なだらか,,N2
懐かしい,なつかしい,"dear,desired,missed",N2
撫でる,なでる,"to brush gently,to stroke",N2
斜め,ななめ,obliqueness,N2
,なにしろ,"at any rate,anyhow,anyway,in any case",N2
何々,なになに,"such and such,What?",N2
何分,なにぶん,"what minute?,how many minutes?",N2
生意気,なまいき,"impertinent,saucy,cheeky,conceit,audacious,brazen",N2
並木,なみき,"roadside tree,row of trees",N2
倣う,ならう,"to imitate,to follow,to emulate",N2
鳴らす,ならす,"to ring,to sound,to chime,to beat,to snort (nose)",N2
生る,なる,to bear fruit,N2
馴れる,なれる,"to become domesticated,to become tame",N2
南極,なんきょく,"south pole,Antarctic",N2
,なんとなく,"somehow or other,for some reason or another",N2
,なんとも,"nothing (with neg. verb),quite,not a bit",N2
,ナンバー,number,N2
南米,なんべい,South America,N2
南北,なんぼく,south and north,N2
煮える,にえる,"to boil,to cook,to be cooked",N2
匂う,におう,"to be fragrant,to smell,to stink",N2
逃がす,にがす,"to let loose,to set free,to let escape",N2
憎い,にくい,"hateful,abominable,poor-looking,detestable",N2
憎む,にくむ,"to hate,to detest",N2
憎らしい,にくらしい,"odious,hateful",N2
,にこにこ,,N2
濁る,にごる,"to become muddy,to get impure",N2
虹,にじ,rainbow,N2
日時,にちじ,date and time,N2
日用品,にちようひん,daily necessities,N2
日課,にっか,"daily lesson,daily work,daily routine",N2
日程,にってい,agenda,N2
鈍い,にぶい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",N2
入社,にゅうしゃ,entry to a company,N2
女房,にょうぼう,wife,N2
睨む,にらむ,"to glare at,to scowl at,to keep an eye on",N2
煮る,にる,"to boil,to cook",N2
俄,にわか,"sudden,abrupt,unexpected,improvised,offhand",N2
縫う,ぬう,to sew,N2
濡らす,ぬらす,"to wet,to soak,to dip",N2
,ねじ,(a) screw,N2
捩る,ねじる,to twist,N2
,ネックレス,necklace,N2
熱する,ねっする,to heat,N2
寝間着,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress",N2
寝巻,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress",N2
狙い,ねらい,aim,N2
狙う,ねらう,to aim at,N2
年度,ねんど,"year,fiscal year,school year,term",N2
農産物,のうさんぶつ,agricultural produce,N2
農村,のうそん,"agricultural community,farm village,rural",N2
濃度,のうど,"concentration,brightness",N2
農薬,のうやく,agricultural chemicals,N2
能率,のうりつ,efficiency,N2
,のこぎり,saw,N2
残らず,のこらず,"all,entirely,completely,without exception",N2
載せる,のせる,"to place on (something),to take on board,to give a ride",N2
覗く,のぞく,"to peep in,to look in,to peek in,to stick out",N2
延ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)",N2
延びる,のびる,to be prolonged,N2
上り,のぼり,"up-train (going to Tokyo),ascent",N2
上る,のぼる,"to ascend,to go up,to climb",N2
糊,のり,"paste,starch",N2
乗換,のりかえ,"(n) transfer (trains, buses, etc.)",N2
載る,のる,"to appear (in print),to be recorded",N2
鈍い,のろい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",N2
,のろのろ,"slowly,sluggishly",N2
呑気,のんき,"carefree,optimistic,careless,reckless,heedless",N2
灰色,はいいろ,"grey,gray,ashen",N2
俳句,はいく,haiku poetry,N2
拝見,はいけん,"(hum) (pol) seeing,look at",N2
売店,ばいてん,"shop,stand",N2
,バイバイ,,N2
売買,ばいばい,"trade,buying and selling",N2
這う,はう,"to creep,to crawl",N2
生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)",N2
剥す,はがす,"(v5s) to tear off,to peel off,to rip off",N2
,ばからしい,absurd,N2
秤,はかり,"scales,weighing machine",N2
量る,はかる,"to measure,to weigh,to survey",N2
測る,はかる,"to measure,to weigh,to survey",N2
吐き気,はきけ,"nausea,sickness in the stomach",N2
,はきはき,lucidly,N2
掃く,はく,"to sweep,to brush,to gather up",N2
歯車,はぐるま,"gear,cog-wheel",N2
,バケツ,"bucket,pail",N2
挟まる,はさまる,"to get between,to be caught in",N2
挟む,はさむ,"to interpose,to hold between,to insert",N2
箸,はし,chopsticks,N2
梯子,はしご,"ladder,stairs",N2
始めに,はじめに,"to begin with,first of all",N2
初めに,はじめに,,N2
,はじめまして,"How do you do?,I am glad to meet you",N2
斜,はす,,N2
外れる,はずれる,"to be disconnected,to get out of place,to be off,to be out (e.g. of gear)",N2
,パターン,pattern,N2
肌着,はだぎ,underwear,N2
果して,はたして,"as was expected,really",N2
鉢,はち,"a bowl,a pot",N2
×,ばつ,,N2
発揮,はっき,"exhibition,demonstration,utilization,display",N2
,バック,back,N2
発射,はっしゃ,"firing,shooting,discharge,catapult",N2
発想,はっそう,"expression (music),conceptualization",N2
発電,はつでん,generation (e.g. power),N2
発売,はつばい,sale,N2
派手,はで,"showy,loud,gay,flashy,gaudy",N2
話合い,はなしあい,"discussion,conference",N2
話し掛ける,はなしかける,"to accost a person,to talk (to someone)",N2
話中,はなしちゅう,"while talking,the line is busy",N2
甚だしい,はなはだしい,"extreme,excessive,terrible",N2
花火,はなび,fireworks,N2
花嫁,はなよめ,bride,N2
放れる,はなれる,"to leave,to get free,to cut oneself off",N2
羽根,はね,shuttlecock,N2
,ばね,"spring (e.g. coil, leaf)",N2
跳ねる,はねる,"to jump,to leap",N2
破片,はへん,"fragment,splinter,broken piece",N2
歯磨き,はみがき,"dentifrice,toothpaste",N2
,はめる,"(col) to get in,to insert,to put on,to make love",N2
早口,はやくち,fast-talking,N2
流行る,はやる,"to flourish,to thrive,to be popular,to come into fashion",N2
払い込む,はらいこむ,"to deposit,to pay in",N2
払い戻す,はらいもどす,"to repay,to pay back",N2
,バランス,balance,N2
針金,はりがね,wire,N2
張り切る,はりきる,"to be in high spirits,to be full of vigor",N2
反映,はんえい,"reflection,influence",N2
半径,はんけい,radius,N2
判子,はんこ,seal (used for signature),N2
万歳,ばんざい,"hurrah, cheers",N2
判事,はんじ,"judge,judiciary",N2
反省,はんせい,"reflection,reconsideration,introspection,meditation,contemplation",N2
番地,ばんち,"house number,address",N2
,パンツ,underpants,N2
,バンド,band,N2
半島,はんとう,peninsula,N2
,ハンドル,"handle,steering wheel",N2
日当たり,ひあたり,"exposure to the sun,sunny place",N2
日帰り,ひがえり,day trip,N2
比較的,ひかくてき,"comparatively,relatively",N2
日陰,ひかげ,shadow,N2
,ぴかぴか,"glitter,sparkle",N2
引受る,ひきうける,"to undertake,to take up,to take over",N2
引返す,ひきかえす,"to repeat,to send back,to bring back",N2
引算,ひきざん,subtraction,N2
引出す,ひきだす,"to pull out,to take out,to draw out,to withdraw",N2
引き止める,ひきとめる,"to detain,to check,to restrain",N2
卑怯,ひきょう,"cowardice,meanness,unfairness",N2
引分け,ひきわけ,"a draw (in competition),tie game",N2
髭,ひげ,"moustache,beard,whiskers",N2
陽射,ひざし,"sunlight,rays of the sun",N2
肘,ひじ,elbow,N2
,ピストル,pistol,N2
,ビタミン,vitamin,N2
,ぴたり,,N2
引っ掛かる,ひっかかる,"to be caught in,to be stuck in,to be cheated",N2
筆記,ひっき,"(taking) notes,copying",N2
引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out",N2
引っ繰り返る,ひっくりかえる,"to be overturned,to be upset,to topple over,to be reversed",N2
引越し,ひっこし,"moving (dwelling etc.),changing residence",N2
引っ込む,ひっこむ,"to draw back,to sink,to cave in",N2
筆者,ひっしゃ,"writer,author",N2
必需品,ひつじゅひん,"necessities,necessary article,requisite,essential",N2
人差指,ひとさしゆび,index finger,N2
一通り,ひととおり,"ordinary,usual,in general,briefly",N2
